,Site Name,State,Zip Code,Amazon City,Latitude,Longitude,Number of Schools,Average School Rating,Average Parent Rating
0,Center for Innovation Technology,VA,20170,Northern Virginia Area,38.96,-77.42,70,4.875,4.064516129032258
1,Crystal City and Potomac Yard,VA,22202,Northern Virginia Area,38.84,-77.05,65,4.714285714285714,4.237288135593221
2,Nationals Park/ D.C United Stadium,DC,20024,Washington DC,38.86,-77.01,200,5.3076923076923075,3.914110429447853
3,Union Station,DC,20002,Washington DC,38.89,-77,200,5.326732673267327,3.937888198757764
4,Hill-East Neighborhood,DC,20003,Washington DC,38.88,-76.97,200,5.065420560747664,3.8322981366459627
5,Shaw-Howard University Area,DC,20001,Washington DC,38.91,-77.02,200,5.956989247311828,4.0
6,Warner Center West San Fernando Valley,CA,91367,Los Angeles,34.1802,-118.6028,158,5.4411764705882355,4.242424242424242
7,New Hall Ranch Santa Clarita Valley,CA,91355,Los Angeles,34.4318,-118.5584,55,7.694444444444445,4.219512195121951
8,Pomona Fairplex,CA,91768,Los Angeles,34.0885,-117.7702,154,5.72289156626506,3.9285714285714284
9,Suffolk Downs,MA,02128,Boston,42.39,-71,190,4.327272727272727,4.082802547770701
10,South Boston Waterfront,MA, 02210,Boston,42.34,-71.03,200,4.069565217391304,4.09433962264151
11,Downtown,MA,02115,Boston,42.35,-71.05,200,3.8446601941747574,4.1835443037974684
12,South End,MA,02118,Boston,42.34,-71.06,200,3.8796296296296298,4.153846153846154
13,Hudson Yards,NY,10001,New York,40.75,-74,200,5.423423423423423,4.159509202453988
14,Long Island City,NY,11101,New York,40.74,-73.94,200,5.591666666666667,4.090395480225989
15,Brooklyn Tech Triangle,NY,11201,New York,40.7,-73.98,200,5.197916666666667,4.040983606557377
16,Financial District,NY,10271,New York,40.7,-74.01,200,5.304347826086956,4.074324324324325
17,Lincoln Yards,IL,60614,Chicago,41.91,-87.64,200,5.6022727272727275,4.073170731707317
18,The River District,IL,60602,Chicago,41.89,-87.64,200,5.045454545454546,4.037735849056604
19,Futton Market,IL,60607,Chicago,41.88,-87.65,200,4.615384615384615,3.967741935483871
20,City Center Campus,IL,60603,Chicago,41.87,-87.63,200,4.954545454545454,4.012422360248447
21,The Downtown District,IL,60603,Chicago,41.87,-87.62,200,4.954545454545454,4.012422360248447
22,The Illinois Medical District,IL,60612,Chicago,41.86,-87.67,200,3.8247422680412373,3.8562091503267975
23,The 78,IL,60608,Chicago,41.85,-87.66,200,4.1923076923076925,3.9050632911392404
24,Burnham Lakefront,IL,60615,Chicago,41.83,-87.6,200,3.22,3.65625
25,Research Triangle Park,NC,27701,Raleigh,35.9,-78.87,70,4.888888888888889,3.982456140350877
26,Chatham Park,NC,27519,Raleigh,35.85,-79.08,26,6.4,4.0
27,Warehouse District,NC,27601,Raleigh,35.77,-78.64,71,4.622222222222222,3.933333333333333
28,Downtown Atlanta,GA,30303,Atlanta,33.7615,-84.3856,111,4.147540983606557,4.011764705882353
29,Midtown,GA,30308,Atlanta,34.5129,-93.0431,122,4.546875,4.164835164835165
30,Former GM plant,GA,30360,Atlanta,33.904,-84.2843,68,5.875,4.107142857142857
31,The High Street Site,GA,30328,Atlanta,33.9133,-84.3888,56,7.285714285714286,4.081632653061225
32,American-Statesman ,TX,78704,Austin,30.2586,-97.7444,125,5.119402985074627,4.010416666666667
33,Eightfold,TX,78721,Austin,30.2714,-97.6647,118,4.565217391304348,3.965909090909091
34,Former 3M site,TX,78732,Austin,30.199,-97.8276,14,8.875,4.416666666666667
35,The Domain,TX,78758,Austin,30.4015,-97.7268,87,5.509090909090909,3.8732394366197185
36,Bardmoor Campus,TX,78758,Austin,30.4014,-97.7147,87,5.509090909090909,3.8732394366197185
37,Robinson Ranch,TX,78717,Austin,30.4704,-97.7701,60,7.926829268292683,3.9622641509433962
38,Project Catalyst,TX,78741,Austin,30.1338,-97.6411,93,4.7,3.875
